"Id","Name","Aka","Type","Clan","Adv","Group","Capacity","Disciplines","Card Text","Set","Title","Banned","Artist"
"200264","Chalcedony","","Vampire","Gargoyle","","6","7","FOR POT THA VIS","Camarilla: Cards requiring a Gargoyle cost Chalcedony 1 fewer blood or pool. Flight [FLIGHT]. Tremere slave.","LK:3","","","Alejandro F. Giraldo"
"200265","Chandler Hungerford","","Vampire","Gangrel","","2","3","PRO","Camarilla: Chandler gets +1 intercept when attempting to block other Gangrel.","DS:V, Anarchs:PG","","","Ron Spencer"
"200266","Charice Fontaigne","","Vampire","Ventrue antitribu","","3","6","for pot AUS DOM","Sabbat.","BH:U2","","","Steve Prescott"
"201513","Charles Delmare","","Vampire","Lasombra","","5","8","cel DOM OBT POT","Sabbat cardinal: Charles gets 1 optional press each combat.","SP:PoS2, POD:DTC","cardinal","","Mark Kelly"
"200267","Charlie Tyne","","Vampire","Gangrel antitribu","","4","4","obf pro ser","Sabbat.","Third:V","","","Lawrence Snelly"
"200268","Chas Giovanni Tello","","Vampire","Giovanni","","2","4","DOM POT","Independent: As Chas announces an action, any other Methuselah can discard one master card as an out-of-turn master to have the action fail. He gets +1 strength in combat with a titled vampire.","FN:U2, POD:DTC","","","Christopher Shy"
"200269","Chaundice","","Vampire","Gargoyle","","4","8","vic FOR POT VIS","Sabbat: Twice each combat, Chaundice can prevent 2 non-aggravated damage from the opposing minion's strikes that round. Flight [FLIGHT]. Tremere antitribu slave.","HttB:U/A2","","","Samuel Araya"
"200270","Chavi Oraczko","","Vampire","Ravnos","","5","7","nec ANI CHI FOR","Independent: During an action, Chavi can burn 1 blood to get +1 stealth. While she is ready, you get +1 hand size. Red List.","LotN:U, POD:DTC","","","Leif Jones"
"201541","Chelsea Blake","","Vampire","Ventrue","","6","5","cel for pre DOM","Camarilla.","V5:PV1","","","Ginés Quiñonero"
"200271","Chester DuBois","","Vampire","Nosferatu","","1","7","for obf ANI POT","Camarilla primogen.","Jyhad:V, VTES:V, Tenth:A","primogen","","Daniel Gelon"
"200272","Christanius Lionel, The Mad Chronicler","","Vampire","Nosferatu antitribu","","2","6","pot ANI OBF","Sabbat: While Christanius is ready, your hand size is increased by 1.","FN:U2, BH:PN","","","Christopher Shy"
"200273","Christine Boscacci","","Vampire","Pander","","2","2","dom vic","Sabbat: Christine gets -1 intercept when attempting to block a bleed action.","Sabbat:V, Tenth:B","","","Ken Meyer, Jr."
"200274","Christopher Houghton","","Vampire","Toreador","","3","10","pot AUS CEL DOM PRE PRO","Camarilla: Once each combat, Christopher may burn 1 blood before range is determined to strike with first strike that round. During your unlock, choose a ready minion. Until your next unlock, he gets +2 intercept when attempting to block that minion.","Anarchs:U2","","","Christopher Shy"
"201542","Chrysanthemum","","Vampire","Tremere","","6","5","dom AUS THA","Camarilla primogen.","V5:PTr1, NB:PTr1","primogen","","Ken Meyer, Jr."
"200275","Cicatriz","","Vampire","Nosferatu antitribu","","2","5","ani obf pot","Sabbat bishop: If Cicatriz is ready during your discard phase, you get an additional discard phase action.","SW:C","bishop","","Christopher Shy"
"200276","Clarissa Steinburgen","","Vampire","Nosferatu","","3","3","ani obf","Camarilla.","Anarchs:U2","","","Jim Nelson"
"200277","Claudia","","Vampire","Lasombra","","5","2","obt","Sabbat: Black Hand.","DM:C/2","","","Nicolas ""Dimple"" Bigot"
"200278","Claudio Severino","","Vampire","Tremere","","5","9","cel obf AUS DOM THA","Camarilla: Combat cards cost an opposing vampire an additional blood. During your unlock phase, burn 1 pool if there are no Gehenna cards in play.","Promo-20100510","","","Ginés Quiñonero-Santiago"
"200279","Claudio Severino","","Vampire","Tremere","Advanced","5","9","cel obf AUS DOM THA","Camarilla: If Claudio is ready, you can use a discard phase action to discard a card requiring Thaumaturgy [tha] to gain 1 pool.
[MERGED] Claudio can burn 1 blood to get +1 stealth.","Promo-20150211, TU:A1/B1","","","Ginés Quiñonero"
"200280","Claus Wegener","","Vampire","Tremere","","5","5","aus for tha DOM","Camarilla.","KoT:V/B1, HttB:PGar, FB:PTr1","","","Samuel Araya"
"200281","Claven","","Vampire","Malkavian antitribu","","2","4","aus dem obf","Sabbat.","Sabbat:V, SW:U","","","Alan Rabinowitz"
"200282","Clea Auguste d'Holford","","Vampire","Follower of Set","","5","6","pre ser OBF POT","Independent.","LotN:U, POD:DTC","","","Ken Meyer, Jr."
"200283","Clifton Derrik","","Vampire","Brujah","","4","2","cel","Camarilla.","TR:U","","","Andrew Trabbold"
"200284","Cock Robin","","Vampire","Nosferatu","","3","10","aus for ANI OBF POT","Camarilla Nosferatu Justicar: Once per turn, when Cock Robin successfully performs an action that requires Animalism [ani], he unlocks at the end of the action. +1 strength.","CE:V, BSC:X","justicar","","Quinton Hoover"
"200285","Cohn Rose","","Vampire","Tremere","","3","5","aus dom pre THA","Camarilla.","CE:V/PTr, KMW:PB, BSC:X","","","Alejandro Collucci"
"201543","Colette","","Vampire","Malkavian","","6","5","dom AUS OBF","Camarilla.","V5:PM1","","","Ginés Quiñonero"
"200286","Colin Flynn","","Vampire","Toreador","","1","3","aus cel","Camarilla.","Jyhad:V, VTES:V, Tenth:B","","","Steve Casper"
"200287","Colonel, The","","Vampire","Malkavian antitribu","","3","5","cel dem obf AUS","Sabbat. Black Hand.","BH:PM","","","Jason Alexander Behnke"
"201514","Conchita Morales","","Vampire","Toreador antitribu","","5","5","aus CEL PRE","Sabbat.","SP:LB2","","","Ginés Quiñonero"
"200288","Conrad Adoula","","Vampire","Lasombra","","4","8","ani cel DOM OBT POT","Sabbat: While Conrad is acting, reaction cards cost younger vampires 1 additional blood.","Third:V, POD:DTC","","","Ken Meyer, Jr."
"200289","Constanza Vinti","","Vampire","Brujah","","2","8","CEL DOM POT","Camarilla Prince of Rome: Constanza gets +2 bleed when bleeding a Methuselah who controls a ready Ventrue.","DS:V, CE:PB","prince","","Lawrence Snelly"
"200290","Corine Marcón","","Vampire","Tzimisce","","2","6","ani AUS VIC","Sabbat: +1 strength.","Sabbat:V, SW:PT","","","Christopher Rush"
"200291","Cornelius Ottavio","","Vampire","Malkavian","","2","8","pre qui AUS OBF","Camarilla: +1 bleed. Cornelius gets an additional +1 bleed when bleeding a Methuselah who controls a ready non-Camarilla vampire.","AH:V3, CE:PM","","","Heather Hudson"
"200292","Count Germaine","","Vampire","Brujah","","4","8","obf CEL FOR POT PRE","Camarilla: Minions opposing Germaine in combat cannot use weapons. Germaine can enter combat with any Toreador controlled by another Methuselah as a (D) action.","Gehenna:U, KMW:PAn","","","Lawrence Snelly"
"200293","Count Germaine","","Vampire","Brujah","Advanced","4","8","obf CEL FOR POT PRE","Independent{}: Germaine gets +2 bleed {against} a Methuselah who controls a titled non-Independent{, non-Anarch} vampire. {Red List.}
[MERGED] Anarch: Germaine gets {1} optional press each combat.","KMW:U/PAn","","","Becky Jollensten"
"200294","Count Jocalo","","Vampire","Follower of Set","","6","10","NEC OBF PRE SER THA","Independent: If Jocalo is ready after your predator or prey uses a discard phase action, you can look at that Methuselah's hand (after the replacement card is drawn, if any). +1 bleed. +1 hand size.","TU:C/B2","","","Ginés Quiñonero"
"200295","Count Ormonde","","Vampire","Follower of Set","","2","5","dom pre ser OBF","Independent.","FN:U2, POD:DTC","","","Christopher Shy"
"200296","Count Vladimir Rustovitch","","Vampire","Tzimisce","","4","9","dom pot pro ANI AUS VIC","Sabbat: When you draw to replace a combat card Vladimir plays, you may draw an additional card (discard afterward). He gets +1 strength in combat with a werewolf. Flight [FLIGHT].","Third:PTz","","","David Day"
"200297","Count Zaroff","","Vampire","Caitiff","","5","4","cel obf","Camarilla: You can burn 1 pool to cancel a blood hunt called on Zaroff and move him to the uncontrolled region.","KoT:V/B1","","","Ken Meyer, Jr."
"200298","Courtland Leighton","","Vampire","Ventrue","","1","4","dom for pre","Camarilla.","Jyhad:V, VTES:V, Tenth:A","","","Dan Smith"
"200299","Creamy Jade","","Vampire","Toreador antitribu","","3","5","aus cel vic PRE","Sabbat.","CE:V, BSC:X","","","Max Shade Fellwalker"
"200300","Cristobal Ghiberti","","Vampire","Giovanni","","4","2","nec","Independent.","KMW:U, POD:DTC","","","Steve Prescott"
"200301","Cristofero Giovanni","","Vampire","Giovanni","","2","3","nec pot","Independent.","DS:V2, Tenth:B, POD:DTC","","","Anson Maddocks"
"200302","Cristos Mantigo","","Vampire","Toreador antitribu","","3","5","aus cel dom obf pre","Sabbat: Cristos can search your library for an equipment card and move it to your hand as a +1 stealth action. Discard down to your hand size and shuffle afterward.","Anarchs:U2","","","Matt Mitchell"
"200303","Crow","","Vampire","Gangrel","","5","5","for pro tha ANI","Anarch.","AU:C/2, V5A:PG1","","","Christopher Shy"
"200304","Crusher","","Vampire","Brujah","","1","9","for CEL POT PRE","Camarilla primogen: Once each combat, Crusher may dodge as a strike that costs 1 blood. +1 strength.","Jyhad:V, VTES:V, Tenth:B","primogen","","Pete Venters"
"201582","Crystal Lynn","","Vampire","Follower of Set","","6","6","OBF PRE PRO","Anarch.","V5A:PMin1","","","Amy Wilkins"
"200305","Cybele","","Vampire","Baali","","4","10","ANI DAI OBF PRE SER THA","Independent: If Cybele is unlocked during your master phase, you get an additional master phase action. Cybele may bleed at +2 bleed as (D) action that costs 1 blood. Infernal.","KMW:U/PB","","","Jim Di Bartolo"
"200306","Cynthia Ingold","","Vampire","Ahrimane","","2","6","ani for pre SPI","Sabbat: Cynthia gets +1 strength in combat with a Camarilla vampire. Sterile.","BL:U2","","","Lawrence Snelly"
"200307","Cyscek","","Vampire","Tzimisce","","4","10","dem ANI AUS OBF VIC","Sabbat: When any Methuselah plays a Gehenna card while Cyscek is ready, that Methuselah burns 1 pool, and you get the Edge. +1 stealth.","Gehenna:U","","","Alejandro Collucci"
"200308","Daliah","","Vampire","Tzimisce","","4","6","ani aus pot VIC","Anarch: After Daliah enters combat, she can gain 1 blood.","AU:C/2","","","Heather V. Kreiter"
"200309","Daliyah","","Vampire","Nosferatu","","2","4","obf PRO","Camarilla.","DS:V, CE:PN","","","Mark Tedin; Ken Meyer, Jr."
"200310","Damaskenos, Herald of Leandro","","Vampire","Malkavian","","2","6","aus cel pot DOM","Camarilla: If Damaskenos becomes the Prince of Cairo, each ready Follower of Set burns 1 blood. If he becomes the Malkavian Justicar, each ready Follower of Set burns 2 blood.","AH:V3, CE:PM","","","Anson Maddocks"
"200311","Dame Hollerton","","Vampire","Kiasyd","","4","5","myt DOM OBT","Sabbat.{}","LoB:U, HttB:PKia","","","Mark Nelson"
"200312","Dan Murdock","","Vampire","Caitiff","","1","3","aus obf","Camarilla: Dan may take an action to allow you to go though your library, find Giant's Blood, and take it into your hand (reshuffle afterwards and discard to your maximum hand size).","Promo-19960101","","","Tim Bradstreet & Grant Goleash"
"200313","Dancin' Dana","","Vampire","Malkavian","","1","6","cel obf AUS","Camarilla: +1 strength.","Jyhad:V, VTES:V, Tenth:B","","","Melissa Benson"
"200314","Dancin' Dana","","Vampire","Malkavian","Advanced","1","6","dom obf AUS CEL","Anarch.
[MERGED] While Dancin' Dana is in combat, you get +1 hand size.","AU:C/2","","","Ginés Quiñonero"
"200315","Dani","","Vampire","Nosferatu antitribu","","2","2","ani","Sabbat.","Sabbat:V, BH:PN","","","Ted Naifeh"
"200316","Danielle Diron","","Vampire","Gangrel","","3","7","chi for ANI PRO","Independent: Danielle has 1 vote (titled). During your unlock phase, if Danielle is ready and has no blood, move 2 blood from the blood bank to her.","Anarchs:U2","1 vote","","Lawrence Snelly"
"200317","Danielle Diron","","Vampire","Gangrel","Advanced","3","7","aus cel chi for ANI PRO","Anarch: During the polling step of any referendum, Danielle can burn 1 blood to get +1 vote.
[MERGED] Baron of Berlin.","AU:C/2","","","Carmen Cornet"
"200318","Danny Larkshill","","Vampire","Follower of Set","","2","7","obf obt pot PRE SER","Independent: Danny gets +1 strength in combat with a younger vampire.","FN:U2, POD:DTC","","","Lawrence Snelly"
"200319","Danylo","","Vampire","Blood Brother","","5","4","for pro san","Sabbat: Danylo can search your library for a location, reveal it, and move it to your hand as an action that costs 1 pool (shuffle and discard down afterward). Kiev circle. Sterile.","HttB:U/A2","","","James Stowe"
"201583","Dario Ziggler","","Vampire","Gangrel","","6","5","ani pro tha FOR","Anarch.","V5A:PG1","","","Ginés Quiñonero"
"200320","Darius Styx","","Vampire","Ravnos","","2","9","ani tha CHI FOR PRO","Independent: Darius can look at 1 random card from another Methuselah's hand as a (D) action; if it is an equipment or retainer card, put it on Darius (ignore requirements and cost).","DS:V, FN:PR, POD:DTC","","","Ken Meyer, Jr."
"200321","Dark Selina","","Vampire","Brujah antitribu","","5","9","dom for CEL POT PRE","Sabbat cardinal: Selina gets +1 stealth during political actions.","DM:C/2, Anthology:1","cardinal","","Christel Espenkrona"
"200322","Darlene Killian","","Vampire","Ahrimane","","5","2","ani spi","Sabbat: Allies and retainers cost Darlene 1 additional blood. Sterile.","HttB:U/B2","","","Jami Waggoner"
"200323","Darrell Boyce, Consul","","Vampire","Gangrel antitribu","","2","6","CEL OBF PRO","Sabbat.","SW:C","","","Lawrence Snelly"
"200324","Darva Felispa","","Vampire","Nosferatu","","3","3","ani pot","Camarilla.","CE:V, Anarchs:PAG, BSC:X","","","Leif Jones"
"200325","Darvag, The Butcher of Rus","","Vampire","Tzimisce","","4","8","aus pot pro ANI VIC","Sabbat. Black Hand: Darvag may burn a location as a (D) action.","Third:V","","","Riccardo Fabiani"
"200326","David Morgan, The Scourge","","Vampire","Malkavian","","3","3","aus pot","Camarilla: David gets +1 intercept when attempting to block a vampire of capacity 2 or less.","CE:V, Anarchs:PAG, BSC:X","","","Christopher Shy"
"200327","De Sade","","Vampire","Ventrue antitribu","","5","9","AUS DOM FOR PRE","Sabbat Archbishop of Paris: Vampires must burn 1 blood to cast votes and ballots against referendums called by De Sade.","DM:C/2","archbishop","","Ginés Quiñonero"
"200328","Dedefra","","Vampire","Follower of Set","","2","5","nec obf SER","Independent: Dedefra gets +1 strength in combat with a Camarilla vampire.","AH:V3, FN:PS, POD:DTC","","","John Bolton"
"200329","Dela Eden","","Vampire","Salubri antitribu","","3","8","cel dom AUS FOR VAL","Laibon: +1 strength.","LoB:U","","","David Day"
"200330","Delilah Easton","","Vampire","Toreador","","1","2","pre","Camarilla.","Jyhad:V, VTES:V, Tenth:B","","","Harold Arthur McNeill"
"200331","Delilah Monroe","","Vampire","Daughter of Cacophony","","2","4","for pre MEL","Independent: Delilah gets -1 intercept when attempting to block an older vampire.","BL:U2","","","John Van Fleet"
"200332","Delizbieta of the Dark Eyes","","Vampire","Ravnos","","3","7","ANI CHI FOR PRE","Independent: Delizbieta gets +1 intercept during actions directed at a Ravnos you control.","TU:C/A2","","","Jesús Ybarzábal"
"200333","Demdemeh","","Vampire","Tzimisce","","4","10","aus pre ANI CEL FOR VIC","Laibon: If any Gehenna cards are in play during your unlock phase, you may move an animal retainer on Demdemeh to your ready region as an animal ally with 1 strength and 1 bleed. While that animal has more than 2 life, he or she gets +1 strength.","LoB:U","","","Richard Thomas"
"200334","Demetrius Slater","","Vampire","Toreador","","1","4","aus cel pre","Camarilla.","Jyhad:V, VTES:V, Tenth:B","","","John Bridges"
"200335","Democritus","","Vampire","Ventrue","","1","10","aus cel for DOM PRE","Camarilla Ventrue Justicar: If Democritus is ready, any Methuselah contesting a card with you burns 1 extra pool to avoid yielding that card. +1 bleed.","Jyhad:V, VTES:V, Tenth:A","justicar","","Josh Timbrook"
"200336","Denette Stensen","","Vampire","Gangrel antitribu","","4","2","obf","Sabbat.","KMW:PG","","","Rik Martin"
"200337","DeSalle","","Vampire","Brujah antitribu","","4","7","CEL POT PRE","Sabbat: When DeSalle is acting, a Sabbat vampire may burn 1 blood to get +1 intercept once that action. +1 stealth.","Third:V","","","Heather Kreiter"
"200338","Desiree Narayan, Anarch Historian","","Vampire","Ravnos","","6","6","ani cel for nec CHI","Anarch.","AU:C/2, Anthology:1","","","Noora Hirvonen"
"200339","Devin Bisley","","Vampire","Tzimisce","","2","5","vic ANI AUS","Sabbat.","Sabbat:V, SW:U/PT","","","Karl Waller"
"200340","Devyn","","Vampire","Ravnos","","4","4","ani chi pre","Sabbat.","KMW:U, POD:DTC","","","Becky Jollensten"
"200341","Dhita Choudhair","","Vampire","Ravnos","","6","5","aus ANI CHI","Independent.","TU:C/A2, Anthology:1","","","Carmen Cornet"
"200342","Diana Vick","","Vampire","Ventrue","","3","3","dom pre","Camarilla.","CE:V/PV, BSC:X","","","Brian LeBlanc"
"200343","Didi Meyers","","Vampire","Malkavian","","1","5","aus cel obf DOM","Camarilla.","Jyhad:V, VTES:V, Tenth:A","","","Tony Harris"
"200344","Diego Giovanni","","Vampire","Giovanni","","5","8","ani CHI DOM NEC POT","Independent: Diego can burn a location as a (D) action that costs 2 blood.","LotN:U, POD:DTC","","","Andrew Trabbold"
"200345","Dieter Kleist","","Vampire","Toreador","","1","2","aus","Camarilla.","Jyhad:V, VTES:V, Tenth:A","","","Douglas Shuler"
"200346","Dimple","","Vampire","Nosferatu","","1","2","obf","Camarilla.","Jyhad:V, VTES:V, Tenth:B","","","Anson Maddocks"
"200347","Dirk","","Vampire","Caitiff","","4","1","pre","Camarilla: Titled vampires get +1 intercept when attempting to block Dirk.","TR:U","","","Lawrence Snelly"
"200348","Djuhah, The Bronze Bow","","Vampire","Assamite","","5","7","aus cel pre OBF QUI","Sabbat: Black Hand. Seraph.","LotN:U, POD:DTC","","","Ken Meyer, Jr."
"200349","Dmitra Ilyanova","","Vampire","Brujah","","5","9","obf CEL FOR POT PRE","Camarilla Brujah Justicar: Dmitra can call a referendum to distribute 4 blood from the blood bank among one or more ready vampires as a +1 stealth political action.","KoT:V/A2","justicar","","Kari Christensen"
"200350","Dmitri Borodin","","Vampire","Assamite","","4","10","obf AUS CEL NEC QUI","Independent: Once each combat, Dmitri can burn 1 blood to prevent all damage from an opposing minion's strike. During an action, he can burn 1 blood to get +1 stealth. Blood cursed.","LotN:PA2, POD:DTC","","","Lawrence Snelly"
"201584","Doctor Morocco","","Vampire","Follower of Set","","6","5","cel obf pre PRO","Anarch.","V5A:PMin1","","","Ken Meyer, Jr."
"200351","Doctor Streck","","Vampire","Brujah antitribu","","3","8","aus pot CEL OBF PRE","Sabbat: When Streck bleeds successfully, the target Methuselah discards one card at random from his or her hand.","BH:U2","","","Andrew Trabbold"
"200352","Dodd","","Vampire","Brujah antitribu","","2","5","dom pre CEL","Sabbat.","Sabbat:V, SW:PB","","","Tim Bradstreet & Grant Goleash"
"200353","Dolie","","Vampire","Akunanse","","4","3","abo ani","Laibon.","LoB:PA2","","","Leif Jones"
"200354","Dollface","","Vampire","Malkavian","","1","3","aus obf","Camarilla.","Jyhad:V, VTES:V, Tenth:B","","","Daniel Gelon"
"200355","Dolphin Black","","Vampire","Malkavian antitribu","","2","6","AUS DEM OBF","Sabbat.","SW:C, BH:PM","","","Leif Jones"
"200356","Domenic Giovanni","","Vampire","Giovanni","","6","4","nec POT","Independent.","TU:C/B2, Anthology:1","","","Laia López Tubau"
"200357","Dominique","","Vampire","Ventrue antitribu","","2","7","ani dom vic AUS FOR","Sabbat: As a (D) action, Dominique may put a vandal counter on a location. If a location has a number of vandal counters equal to its cost (or 1 vandal counter if it has no cost), burn it.","Sabbat:V, SW:PV","","","Tim Bradstreet & Grant Goleash"
"200358","Dominique","","Vampire","Ventrue antitribu","Advanced","2","7","ani dom vic AUS FOR","Advanced, Sabbat: During your unlock phase, you may burn a location you control to gain X pool, where X is the cost of that location.
[MERGED] {Anarch} Baron of Paris.","BH:U2","","","Mark Nelson"
"200359","Dominique Santo Paulo","","Vampire","Toreador antitribu","","4","6","pot pre AUS CEL","Sabbat. Black Hand: Dominique gets +1 strength in combat with Nosferatu or Nosferatu antitribu.","Third:V","","","Steve Ellis"
"200360","Don Caravelli","","Vampire","Brujah","","5","8","aus dom CEL POT PRE","Camarilla: Once each combat involving another vampire you control, Don Caravelli can burn 1 blood to give that vampire 1 press.","KoT:V/A1","","","Kari Christensen"
"200361","Don Cerro","","Vampire","Brujah","","5","7","aus dom for pre pro CEL POT","Camarilla.","KoT:V/A1","","","Mathias Tapia"
"200362","Don Cruez, The Idealist","","Vampire","Brujah","","1","10","ani dom pro CEL POT PRE","Camarilla Brujah Justicar: Once each combat, Don Cruez may burn 1 blood to get one maneuver.","Jyhad:V, VTES:V, Tenth:B","justicar","","Mark Poole"
"200363","Don Michael Antonio Giovanni","","Vampire","Giovanni","","4","7","DOM NEC POT","Independent. 2 votes (titled): Michael cannot strike: combat ends or press to end combat. He gets +1 strength on any round of combat after the first.","KMW:U, POD:DTC","2 votes","","James Stowe"
"200364","Dónal O'Connor","","Vampire","Brujah","","2","8","CEL DOM POT","Camarilla Prince of Dublin: Any vampire blocking Dónal burns 1 blood (before combat begins, if any).","DS:V, CE:PB","prince","","Lawrence Snelly"
"200365","Donald Cargill","","Vampire","Caitiff","","5","1","aus","Camarilla: Donald burns 1 blood after a referendum called by your predator passes.","KoT:V/B1","","","Justin Norman"
"200366","Donatello Giovanni","","Vampire","Giovanni","","4","5","aus pot pre DOM","Independent: During your prey's unlock phase, you can choose a vampire controlled by a Methuselah other than your predator. If the chosen vampire attempts to bleed before your next unlock phase, they move 1 blood to Donatello.","Gehenna:U, POD:DTC","","","Monte Moore"
"200367","Donatien","","Vampire","Toreador antitribu","","2","9","cel pot AUS PRE","Sabbat cardinal: As a (D) action, Donatien may bleed any Methuselah who has attempted an unsuccessful bleeding action since your last turn. +1 bleed.","Sabbat:V, SW:U, BH:PTo","cardinal","","Rick Berry"
"201544","Donny Kowalczyk","","Vampire","Malkavian","","6","6","obf dom cel AUS","Camarilla Prince of Pittsburgh.","V5:PM2, NB:PM1","prince","","Mark Kelly"
"200368","Dorian Strack","","Vampire","Toreador","","1","4","cel AUS","Camarilla.","Jyhad:V, VTES:V, Tenth:A","","","Randy Gallegos"
"200369","Doris McMillon","","Vampire","Salubri antitribu","","2","2","val","Sabbat.","BL:U2","","","Christopher Shy"
"200370","Dorka","","Vampire","Blood Brother","","6","4","for san vic","Sabbat: Dorka can enter combat with a minion controlled by your predator or prey as a (D) action. Budapest circle. Sterile.","LK:2","","","Noora Hirvonen"
"200371","Dovey Ebfwe","","Vampire","Ahrimane","","6","7","ani for PRE SPI","Sabbat: Dovey gets +1 stealth when employing retainers. Black Hand. Sterile.","HttB:U/B2","","","Ken Meyer, Jr."
"201545","Dowager, The","","Vampire","Nosferatu","","6","6","aus pot ANI OBF","Camarilla primogen: The Dowager gets +1 intercept during directed actions.","V5:PN1, NB:PN1","primogen","","Mark Kelly"
"200372","Doyle Fincher","","Vampire","Gangrel antitribu","","4","7","aus for obf ANI PRO","Sabbat: During your discard phase, if any of your prey's ready vampires are not at full capacity, move 1 blood from the blood bank to one of those vampires and 1 blood from the blood bank to Doyle. +1 bleed.","KMW:U","","","Steve Ellis"
"200373","Dr. Allan Woodstock","","Vampire","Gangrel","","3","5","ani aus for PRO","Independent.","Anarchs:U/PAG","","","Lawrence Snelly"
"200374","Dr. Douglas Netchurch","","Vampire","Malkavian","","3","6","dem dom AUS OBF","Camarilla.","CE:V/PM, BSC:X","","","Ken Meyer, Jr."
"200375","Dr. Jest","","Vampire","Malkavian","","1","8","aus dom for pre OBF","Camarilla primogen: If Dr. Jest is unlocked at the start of your turn, then during your unlock phase, you may make your prey discard one card at random from his or her hand (and draw back up to his or her hand size afterward).","Jyhad:V, VTES:V, Tenth:B","primogen","","Daniel Gelon"
"200376","Dr. John Casey","","Vampire","Tremere","","1","3","aus tha","Camarilla.","Jyhad:V, VTES:V, Tenth:A","","","Richard Thomas"
"200377","Dr. John Dee","","Vampire","Tremere","","4","9","chi ANI AUS DOM THA","Camarilla Prince of London: Ventrue in combat with John cannot strike: combat ends. During the polling step of any referendum, he can discard a card requiring Thaumaturgy [tha] to get +2 votes.","KoT:V/B2","prince","","Trevor Claxton"
"200378","Dr. Julius Sutphen","","Vampire","Lasombra","","3","5","dom obt POT","Sabbat bishop: Younger vampires must burn 1 blood to attempt to block Julius.","Gehenna:U, POD:DTC","bishop","","Monte Moore"
"200379","Dr. Julius Sutphen","","Vampire","Lasombra","Advanced","3","5","dom obt POT","Sabbat: During a directed action, Julius can burn 1 blood to get +1 stealth.
[MERGED] Archbishop of Atlanta: Julius gets +1 strength in combat with a Camarilla vampire.","Third:V, POD:DTC","","","Ken Meyer, Jr."
"200380","Dr. Lawrence Mayhew","","Vampire","Ravnos","","5","6","ani for AUS CHI","Independent.","TU:C/A2, Anthology:1","","","Alejandro F. Giraldo"
"200381","Dr. Morrow, The Skindoctor","","Vampire","Tzimisce","","5","5","for AUS VIC","Sabbat: Morrow can put 1 graft counter on an ally as a (D) action. An ally with any graft counters gets -1 stealth. Black Hand.","SoC:V, SP:DoF1","","","Ken Meyer, Jr."
"200382","Dr. Oliver Genet","","Vampire","Giovanni","","6","6","pot DOM NEC","Independent: Allies and retainers requiring Necromancy [nec] or Giovanni cost Oliver 1 fewer blood or pool.","TU:C/B2","","","Gábor Németh"
"200383","Dr. Solomon Grey","","Vampire","Caitiff","","5","2","dom pre","Camarilla: Burn 1 pool as Solomon enters play.","KoT:V/B1","","","Erica Danell"
"201546","Dr. Stephen Norton","","Vampire","Malkavian","","6","4","aus OBF","Camarilla.","V5:PM1, NB:PM1","","","Ginés Quiñonero"
"200384","Dr. Sutton Gassaway","","Vampire","Gangrel","","4","6","ani aus FOR PRO","Independent.","TU:C/A2","","","Ginés Quiñonero"
"200385","Dracon, The","","Vampire","Tzimisce","","5","11","ANI AUS POT THA VIC","Independent: Cards requiring Vicissitude [vic] cost The Dracon 1 fewer blood. He inflicts +1 damage or steals 1 additional blood or life with ranged strikes (even at close range). Flight [FLIGHT]. +1 bleed. +2 strength.","Promo-20150216, Promo-20181004:HB2, Promo-20190408","","","Ginés Quiñonero"
"200386","Dragos","","Vampire","Tzimisce","","2","7","vic ANI AUS","Sabbat: Dragos does not have to burn blood to pay the cost of combat cards he plays.","Sabbat:V, SW:PT","","","Mark Tedin"
"200387","Dre, Leader of the Cold Dawn","","Vampire","Brujah","","1","3","cel pot","Camarilla.","Jyhad:V, VTES:V, Tenth:A","","","Lawrence Snelly"
"200388","Droescher One-Eye","","Vampire","Tzimisce","","4","3","ani vic","Sabbat.","Third:V","","","Leif Jones"
"200389","Drozodny","","Vampire","Malkavian antitribu","","5","7","pre AUS DEM OBF","Sabbat bishop: Drozodny can move a political action card from your ash heap to your hand as a +1 stealth action (discard afterward).","DM:C/2","bishop","","Ginés Quiñonero"
"200390","Drusilla Euphemia","","Vampire","Malkavian antitribu","","4","6","dem vic AUS OBF","Sabbat: Drusilla may give you control of a ready Ventrue for the remainder of the turn as a (D) action that costs 2 blood.","Third:V","","","Rebecca Guay"
"200391","Duality","","Vampire","Tzimisce","","4","6","ani AUS VIC","Sabbat: You can draw 1 additional card after replacing a card requiring Vicissitude [vic] Duality played.","Promo-20060710, Third:PTz, SP:DoF1","","","Josh Timbrook"
"200392","Duck","","Vampire","Nosferatu","","1","3","obf pot","Camarilla.","Jyhad:V, VTES:V, Tenth:B","","","Tony Harris"
"200393","Durga Syn","","Vampire","Ravnos","","4","9","ani aus dom for CHI OBF THA","Independent: Durga Syn can burn 1 blood to strike: steal equipment with first strike. She does not lock for blocking an ally or a vampire with capacity 4 or less.","LotN:PR2, POD:DTC","","","Andrew Trabbold"
"200394","Dylan","","Vampire","Ventrue antitribu","","2","6","aus cel dom for pro","Sabbat: +1 bleed.","Sabbat:V, SW:PV","","","Ken Meyer, Jr."
"200395","Dylan","","Vampire","Ventrue antitribu","Advanced","2","6","aus cel dai dom pro FOR","Advanced, Sabbat. Red List: Dylan gets +1 stealth when bleeding. +1 strength. Infernal.","KMW:U","","","Ken Meyer, Jr."
