"Id","Name","Aka","Type","Clan","Discipline","Pool Cost","Blood Cost","Conviction Cost","Burn Option","Card Text","Flavor Text","Set","Requirement","Banned","Artist","Capacity","Draft"
"100465","Crusade: Mexico City","","Political Action","","","","","","","Requires a Sabbat vampire. Title.
If this referendum passes, put this card on the acting vampire to represent the unique Sabbat title of Archbishop of Mexico City. This could lead to a contested title.","","Sabbat:R, SW:PV","sabbat","","Heather J. McKinney","",""
"100466","Crusade: Miami","","Political Action","","","","","","","Requires a Sabbat vampire. Title.
If this referendum passes, put this card on the acting vampire to represent the unique Sabbat title of Archbishop of Miami. This could lead to a contested title.","","Sabbat:R, BH:PTo","sabbat","","Andrew Robinson","",""
"100467","Crusade: New York","","Political Action","","","","","","","Requires a Sabbat vampire. Title.
If this referendum is successful, put this card on the acting vampire to represent the unique Sabbat title of Archbishop of New York. This could lead to a contested title.","","SW:R, Third:PM","sabbat","","Mike Danza","",""
"100468","Crusade: Paris","","Political Action","","","","","","","Requires a Sabbat vampire. Title.
If this referendum passes, put this card on the acting vampire to represent the unique Sabbat title of Archbishop of Paris. This could lead to a contested title.","","Gehenna:R","sabbat","","Peter Bergting","",""
"100469","Crusade: Philadelphia","","Political Action","","","","","","","Requires a Sabbat vampire. Title.
If this referendum is successful, put this card on the acting vampire to represent the unique Sabbat title of Archbishop of Philadelphia. This could lead to a contested title.","","Sabbat:R, SW:R, Third:PTr","sabbat","","Dave Seeley","",""
"100470","Crusade: Pittsburgh","","Political Action","","","","","","","Requires a Sabbat vampire. Title.
If this referendum is successful, put this card on the acting vampire to represent the unique Sabbat title of Archbishop of Pittsburgh. This could lead to a contested title.","","Sabbat:R, SW:PT, Third:PTz","sabbat","","Clint Langley","",""
"100471","Crusade: Rome","","Political Action","","","","","","","Requires a Sabbat vampire. Title.
If this referendum is successful, put this card on the acting vampire to represent the unique Sabbat title of Archbishop of Rome. This could lead to a contested title. If this vampire is Brujah antitribu, he or she unlocks during your next discard phase.","","BH:R, Third:PB","sabbat","","Brian LeBlanc","",""
"100472","Crusade: Toronto","","Political Action","","","","","","","Requires a Sabbat vampire. Title.
If this referendum is successful, put this card on the acting vampire to represent the unique Sabbat title of Archbishop of Toronto. This could lead to a contested title.","","Sabbat:R, Third:PM","sabbat","","Clint Langley","",""
"100473","Crusade: Washington, D.C.","","Political Action","","","","","","","Requires a Sabbat vampire. Title.
If this referendum passes, put this card on the acting vampire to represent the unique Sabbat title of Archbishop of Washington, D.C. This could lead to a contested title. If this vampire is Ventrue antitribu, he or she unlocks during your next discard phase.","","Gehenna:R","sabbat","","Mark Poole","",""
"100474","Crusader Sword, The","","Equipment","","","1","","","","Unique melee weapon.
Strength+1 aggravated damage each strike. Only usable by a minion with True Faith or an imbued. Vampires opposing this minion with True Faith or this imbued cannot use maneuvers to go to close range.","","NoR:R","","","John Bridges","",""
"100475","Cry Wolf","","Ally","","","","","","","Unique werewolf with 3 life. 2 strength, 0 bleed. Requires a ready anarch.
If the action to recruit this ally is blocked, the acting anarch goes to torpor. This werewolf must enter combat with any minion controlled by another Methuselah as a (D) action. He gets one optional press each combat. This werewolf does not unlock as normal during your unlock phase. If he is locked during your unlock phase, burn him.","","Anarchs:R2","anarch","","Andrew Bates","",""
"100476","Crypt's Sons","","Retainer","","","1","","","","Unique mortal with 3 life. Requires an anarch.
Whenever this anarch is blocked, he or she may burn a life from the Sons to cancel combat and continue the action as if unblocked. The Sons inflict 1R damage each round of combat during normal strike resolution.","","TR:R","anarch","","Brian LeBlanc","",""
"100477","Cryptic Mission","","Action","","Thaumaturgy","","","","","+1 stealth action.
[tha] (D) Burn 1 blood on a vampire, or do 1 unpreventable damage to any ally or retainer.
[THA] As above, and the acting vampire gains 1 blood from the blood bank.","","Jyhad:C, VTES:C, Sabbat:C, CE:C, BH:PTr5","","","Anson Maddocks","",""
"100478","Cryptic Rider","","Action Modifier","","","","1","","","Only usable on a successful referendum.
The next referendum a vampire you control calls this turn passes automatically.","I am Your slave, and You will reward me, for I shall be faithful.
Bram Stoker, ""Dracula""","Jyhad:U, VTES:U, Sabbat:U, CE:U, Third:U","","","Douglas Shuler; Sue Ann Harkey","",""
"100479","Cull the Herd","","Action","","","","1","","","+1 stealth action.
(D) Look at another Methuselah's hand. That Methuselah discards all ally or retainer cards in his or her hand. The acting vampire gains 1 blood from the blood bank for each card discarded in this way.","","Sabbat:R, SW:R, Third:R","","","Peter Kim","",""
"100480","Cultivated Blood Shortage","","Master","","","","","","","Master.
Put this card in play. Each Ventrue burns 1 blood during his or her controller's unlock phase, and each Ventrue who cannot burn a blood is locked instead. Any vampire can burn this card as a +1 stealth (D) action.","","Jyhad:U, VTES:U","","","Anson Maddocks","",""
"100481","Cunctator Motion","","Political Action","","","","","","","Only usable if playing for ante. Choose how you would rearrange the remaining ante cards among the surviving Methuselahs. Successful referendum means you then rearrange the remaining ante cards.","","Jyhad:R2, VTES:R","","1995","Michael Weaver","",""
"100482","Curmudgeon","","Master","","","","","","","Master: archetype. Trifle.
Put this card on a vampire you control. During your prey's unlock phase, you may choose a minion controlled by your prey. If that minion is blocked this turn, you may lock this card to move 1 blood from the blood bank to this vampire. A vampire can have only one archetype.","","Gehenna:C","","","Leif Jones","",""
"100483","Curse of Nitocris","","Master","","","","","","","Unique master.
Choose a Methuselah and put this card in play under the control of the chosen Methuselah. The controller of this card burns 1 pool during each of his or her unlock phases. Each time a new Methuselah gets the Edge, the current controller of this card chooses any Methuselah, and that chosen Methuselah takes control of this card.","","Jyhad:R, VTES:R, Tenth:A","","","L. A. Williams","",""
"100484","D'habi Revenant","","Retainer","Baali","","","","","Y","Ghoul with 2 life.
The Baali with this retainer gets +1 bleed.","The ghouls are used as both researchers and subjects. They are also essential for certain rites that require something other than blood but cannot be left to the uninitiated.
Azaneal, Baali","BL:C1, KMW:PB","","","Fred Hooper","",""
"100485","Dabbler","","Master","","","","","","","Archetype. Trifle.
Put this card on a vampire you control. Once each turn, this vampire can gain 1 blood or burn 1 blood to unlock {after an action (successful or not) is performed during which they used 3 or more Disciplines to play cards}. A vampire can have only one archetype.","","HttB:R/B1","","","Matt Smith","",""
"100486","Daemonic Possession","","Action","","Necromancy","","2","","","[nec] Choose a minion controlled by another Methuselah who has been burned since your last turn. Move the chosen minion from their owner's ash heap to your ready region with 1 blood or life, and lock them.
[NEC] As above, but do not lock the chosen minion.","","FN:C2, POD:DTC","","","Mark Nelson","",""
"100487","Dagger","","Equipment","","","1","","","","Melee weapon.
You can put a second Dagger from your hand or ash heap on this minion after they equip this Dagger from your hand. Damage inflicted on a Kiasyd by this weapon is aggravated. Strike: strength+1 damage. Alternatively, ranged strike: strength damage and, after strike resolution, put this weapon out of play until the end of the action. Burn this weapon if any damage from it is prevented.","","HttB:C/B2","","","Joel Biske","",""
"100488","Dagon's Call","","Combat","","Quietus","","1","","","A vampire can play only one Dagon's Call each combat.
[qui] Strike: hand strike, and the opposing minion takes 1 unpreventable environmental damage during the press step each round this combat (only effective if this strike was made at close range).
[QUI] As above, and this hand strike is at +1 damage.","Power is not revealed by striking hard or striking often, but by striking true.
Honoré de Balzac","FN:C2/PA2, POD:DTC","","","Durwin Talon","",""
"100489","Dam the Heart's River","","Combat","","Quietus","","","","","Frenzy. Only usable before range is determined. A vampire can play only one Dam the Heart's River each combat.
[qui] This combat, each strike or damaging effect made against the opposing minion inflicts +1 damage.
[QUI] As above, and this combat, strikes cost the opposing minion 1 additional blood or life, and the opposing minion can choose not to strike.","","TU:C","","","Jake Smidt","",""
"100490","Damned, The","","Master","","","1","","","","Unique master.
Put this card on a vampire with a capacity below 5. The vampire with this card burns 1 additional blood for each bleeding action he or she successfully performs (after resolving the action).","The Beast I am lest the Beast I become!","AH:C2, FN:PS, Third:U","","","Drew Tucker","",""
"100491","Danse Macabre","","Master","","","","","","","Master.
Choose a ready Sabbat vampire you control. Once this turn, when the chosen Sabbat vampire performs a successful action, he or she may burn a blood to unlock after resolving that action.","Like everyone, your fate is inescapable. The wise man looks to meet his fate head-on.
Chi, Ghoul","Third:C","","","Heather Kreiter","",""
"100492","Daring the Dawn","","Action Modifier","","Fortitude","","","","","[for] Vampires cannot block this action. This vampire takes 2 unpreventable environmental aggravated damage after action resolution.
[FOR] As above, but this vampire takes 1 unpreventable environmental aggravated damage.","","Sabbat:R, SW:R/PV, FN:PR, LoB:PI, Third:R, FB:PV1, V5:PV1","","","Pete Venters","",""
"100493","Dark Influences","","Master","","","2","","","","Out-of-turn.
Cancel a minion card as it is played, its cost is not paid, and put this card in play. That card cannot be played again this turn. The next card played that would cancel another Methuselah's minion card as it is played is canceled, its cost is not paid, and this card is burned instead.","","KoT:U/A1","","","Samuel Araya","",""
"100494","Dark Mirror of the Mind","","Action","","","","","","","+1 stealth action. Requires a vampire with capacity 8 or more.
Gain 2 pool.","","KoT:U/A2","capacity 8 or more","","Marian Churchland","",""
"100495","Dark Steel","","Combat","","Obtenebration & Potence","","","","","Only usable before range is determined. A minion can play only one Dark Steel each combat.
[obt][pot] The opposing minion takes 1 environmental damage each round of combat during normal strike resolution at close range. This vampire gets 1 optional maneuver this round, only usable to get to close range.
[OBT][POT] As above, but for 2 environmental damage.","","DM:C","","","Javier Santos","",""
"100496","Darkling Trickery","","Combat","","Mytherceria/Obtenebration","","","","","[obt] Press, only usable to end combat.
[myt] Maneuver or press.
[MYT] Only usable if the opposing minion strikes with a weapon that inflicts ranged damage. That weapon inflicts no damage. The opposing minion takes 1R environmental damage during normal strike resolution.","","BL:R1, LoB:R, POD:DTC","","","Dennis Calero","",""
"100497","Darkness Within","","Combat","","Obtenebration","","1","","","Only usable before range is determined. A vampire can play only one Darkness Within each combat.
[obt] Put this card in play. Move 1 blood or life from the opposing minion to this card even at long range each round this combat during normal strike resolution. After combat ends, move half the blood rounded up from this card to this vampire and burn this card.
[OBT] As above, with 1 optional maneuver.","","SW:U, Third:U, HttB:PKia2, POD:DTC","","","William O'Connor","",""
"100498","Darksight","","Reaction","","Obtenebration","","1","","","[obt] +1 intercept.
[OBT] As above, and if this vampire blocks, put this card on the acting minion. The attached minion gets -1 stealth when bleeding this reacting vampire's controller. Any minion can burn this card as a +1 stealth action.","","SW:C/PL2, Third:C, POD:DTC","","","Steve Prescott","",""
"100499","Dartmoor, England","","Equipment","","","","2","","","This equipment card represents a location and does not count as equipment while in play. Unique.
The vampire with this location gets +1 stealth on any action requiring Animalism [ani] or Protean [pro].","In the spell-bound north, convulsive now with a dream near morning...
D.H. Lawrence, ""The North Country""","DS:C2","","","Rob Alexander","",""
"100500","Dauntain Black Magician","Dauntain Black Magician (Changeling)","Ally","Malkavian antitribu","","3","","","","Changeling with 4 life. 3 strength, 0 bleed.
Dauntain Black Magician can {move} a master{} discipline card from a{ny} vampire {to} a vampire you control as a (D) action. The Black Magician {can} burn {himself and} a Tremere antitribu controlled by your predator as a (D) action{}.","","Sabbat:R, Third:R","","","Matt Cavotta","",""
"100501","Dawn Operation","","Action Modifier","","Fortitude","","","","","[for] If this action is blocked, all damage inflicted to vampires in the resulting combat is aggravated. Any vampire attempting to block may now choose not to block.
[FOR] As above, but vampires attempting to block cannot back out.","","Jyhad:U, VTES:U, CE:U, Anarchs:PG2, LoB:PA2, KoT:U, HttB:PSal2","","","Christopher Rush; Brian LeBlanc","",""
"100502","Day Operation","","Action Modifier","","Fortitude","","1","","","[for] Only usable as the action is announced. Vampires cannot block this action. The acting vampire goes to torpor after resolving the action.
[FOR] As above, but usable if a minion is attempting to block.","","Jyhad:R, VTES:R, CE:R, KoT:R","","","L. A. Williams; Fred Hooper","",""
"100503","Dead Hand","","Combat","","Necromancy","","","","","[nec] Strike: hand strike at +1 damage.
[NEC] As above, and the damage from this strike cannot be prevented by cards requiring Fortitude [for].","Golden lads and girls all must,
As chimney-sweepers, come to dust.
William Shakespeare, ""Cymbeline"", act IV, scene 2","KMW:C, POD:DTC","","","Steve Eidson","",""
"100504","Dead-End Alley","","Combat","","","","","","","Press, only usable to continue combat.","","Jyhad:C, VTES:C, SW:PT, FN:PR, CE:C, Anarchs:PAG2","","","L. A. Williams","",""
"100505","Deadliest Sin, The","","Reaction","","","","","","","Requires a ready vampire. Only usable when a vampire attempts to commit diablerie.
This reacting vampire gets +2 intercept. If this vampire successfully blocks and combat occurs, this reacting vampire gets +2 strength until the end of combat.","","AH:U5","","","Scott Kirschner","",""
"100506","Deal with the Devil","","Master","","","","","","","Master.
Discard your hand and draw a new one. Do not replace this card until after you discard your hand.","I cut and shuffle; shuffle, cut, again;
But all my cutting, shuffling proves in vain...
Christina Rossetti, ""The Queen of Hearts""","Jyhad:C, VTES:C, Tenth:B","","","Jeff Menges","",""
"100507","Death of My Conscience, The","","Combat","","Potence","","3","","","Requires a vampire with a capacity above 5. Do not replace until after combat. Play before strikes are chosen.
[pot] Burn up to four cards in your hand. For each card you burn this way, this vampire gets +1 strength for the remainder of combat. Do not replace these cards until after combat.
[POT] As above, but this vampire gets +2 strength for the remainder of combat for each card you burn this way.","","AH:U5, FN:PG, LoB:PG","capacity above 5","","Edward Beard, Jr.","",""
"100508","Death of the Drum","","Combat","","Melpominee/Celerity","","1","","","Only usable at long range.
[cel]: Strike: 1R damage.
[mel]: Strike: 2R damage, only preventable by cards that require Fortitude [for] or Visceratika [vis].
[MEL]: As [mel] above, and the damage is aggravated.","Music, to create harmony, must investigate discord.
Plutarch","LoB:C","","","Avery Butterworth","",""
"100509","Death Pact","","Action","","Necromancy","","1","","","This card is an action card that becomes a retainer card. +1 stealth action.
[nec] (D) Put this card on a ready vampire. If that vampire is burned, put this card on the vampire who brought this card into play. This card then represents a wraith retainer with 2 life. Once each combat, the vampire with this retainer may treat one aggravated damage inflicted on him or her as normal.
[NEC] As above, but the retainer has 3 life.","","AH:V3","","","Greg Simanson","",""
"100510","Death Seeker","","Combat","Salubri antitribu","","","1","","","A vampire can play only one Death Seeker each round.
Cancel a combat card played by the opposing minion as it is played, and its cost is not paid.","","HttB:C/B2/PSal2","","","Erica Danell","",""
"100511","Decapitate","","Combat","","Potence","","2","","","[pot] Strike: hand strike or use a melee weapon strike. This strike is at +2 damage.
[POT] Only usable when the opposing vampire is going into torpor; not usable by a vampire being burned or going into torpor. Burn the opposing vampire instead of sending that vampire to torpor.","","Sabbat:U, SW:PB, Third:U","","","Randy Gallegos","",""
"100512","Decompose","","Action","","Thanatosis","","","","","+1 stealth action.
[thn] (D) Put this card on any minion. The attached minion gets -1 stealth on non-hunt actions and cannot use additional strikes. During their unlock phase, the attached minion can burn 2 blood or life to burn this card.
[THN] As [thn] above, and presses cost the attached minion 1 additional blood or life to use.","","HttB:R/A2","","","Brian LeBlanc","",""
"100513","Deed the Heart's Desire","","Action Modifier","","Quietus","","1","","","Only usable as the action is announced.
[qui] Choose a younger vampire. The chosen vampire cannot block this action.
[QUI] As above, and the chosen vampire cannot play reaction cards during this action.","","BH:C, LotN:PA2, POD:DTC","","","Andrew Bates; Mike Chaney; Andrew Bates","",""
"100514","Deep Cover Agent","","Action","","","","","","Y","+1 stealth action. Requires a ready Seraph. Unique.
(D) Put this card on a younger ready vampire. You still control this card. During your unlock phase, you may look at this vampire's controller's hand. This vampire can burn this card as a (D) action.","Treason doth never prosper: what's the reason? Why, if it prosper, none dare call it treason.","BH:R","seraph","","Andrew Bates","",""
"100515","Deep Song","","Action","","Animalism","","","","","[ani] (D) Bleed with +1 bleed.
[ANI] Frenzy. (D) Enter combat with and lock a vampire. The target vampire is considered the acting minion during that combat.","","KoT:C/A2, HttB:PSam2, Anthology:4, SP:DoF4, V5:PN6","","","Jeremy McHugh","",""
"100516","Deer Rifle","","Equipment","","","2","","","","Weapon: gun.
1R damage each strike, with two optional maneuvers each combat.","","Jyhad:C, VTES:C, CE:U, Third:PM","","","Bryon Wackwitz","",""
"100517","Defender of the Haven","","Action","Tremere/Tremere antitribu","","","1","","","+1 stealth action.
Put this card on a slave Gargoyle with a capacity above 4. This Gargoyle gets +2 intercept against (D) actions. A Gargoyle can have only one Defender of the Haven.","This is my master's house, and she does not receive visitors unannounced. You do not look like you have business here, so best be on your way.
Pugfar, slave Gargoyle","BL:R1, LoB:R, HttB:PGar","","","Jeff Holt","",""
"100518","Deflection","","Reaction","","Dominate","","1","","","Only usable if a minion is bleeding you, after blocks are declined.
[dom] Lock this reacting vampire. Change the target of the bleed to another Methuselah other than the acting minion's controller (that Methuselah can attempt to block).
[DOM] As above, but do not lock this vampire.","","Jyhad:C, VTES:C, SW:PV2, FN:PG2, CE:C/PTr3, BH:PTr4, HttB:PGar4, SP:PoS4/PwN3, 25th:6, FB:PV4, V5:PM5/PTr4/PV6","","","Larry MacDougall; Gary Chatterton; Ginés Quiñonero","",""
"100519","Delaying Tactics","","Reaction","","","","1","","","Only usable during the polling step of a political action.
Cancel the referendum. Unlock the acting vampire. If a political action card was played to call this referendum, return it to its owner's hand (discard down afterward). Minions controlled by the acting Methuselah cannot take the same political action again this turn.","","Jyhad:U, VTES:U, CE:U/PN, Third:U, KoT:U, SP:LB2/PwN2","","","Quinton Hoover; Brian LeBlanc","",""
"100520","Delivery Truck","","Equipment","","","","","","","Vehicle.
During your master phase, you may show a non-location equipment card from your hand to the other players and place it face down on the Delivery Truck if it doesn't already have one. You may look at the card at any time. Any minion you control may equip that card (face up) as a +1 stealth action (requirements and cost apply as normal). A minion may have only one vehicle.","","Anarchs:R, KoT:R","","","Jeff Holt","",""
"100521","Dementation","","Master","","","","","","","Master: Discipline.
Put this card on a vampire. This vampire gains 1 level of Dementation [dem]. Capacity increases by 1: the vampire is one generation older. Cannot be placed on a vampire with superior Dementation [DEM].","","Sabbat:C, SW:C, CE:C/PM2, Third:PM, KoT:PM","","","Alan Rabinowitz; Brian LeBlanc","+1",""
"100522","Demonstration","","Master","Ventrue antitribu","","1","","","","Unique master.
Put this card in play. Lock to cancel the votes and ballots of any vampire during the referendum of a political action.","","Sabbat:U, SW:PV, Third:U","","","Peter Kim","",""
"100523","Denial of Aphrodite's Favor","","Combat/Reaction","","Dominate & Fortitude","","","","","[dom][for] Cancel an action card a younger vampire plays that requires Presence [pre] as it is played. No cost is paid. Do not lock the acting vampire; that vampire cannot attempt the same action again this turn.
[DOM][FOR] Cancel an action modifier or combat card a younger vampire plays that requires Presence [pre] as it is played. No cost is paid.","","BL:R1","","","Brian LeBlanc","",""
"100524","Deny","","Action Modifier/Combat","","Dementation","","","","","[dem] [COMBAT] Press.
[DEM] [ACTION MODIFIER] +1 stealth.","What we believe is, in the end, of little consequence. The only consequence is what we do.
John Ruskin","FN:R2, BH:PM, Third:PM, KoT:PM2","","","Jim Nelson","",""
"100525","Deploy the Hand","","Political Action","","","","","","","Requires a ready archbishop, cardinal or regent.
Choose one or more Methuselahs who do not have a target counter. Successful referendum means each chosen Methuselah gets a target counter. During his or her unlock phase, a Methuselah with a target counter chooses one of his or her ready minions, who takes 2 unpreventable damage. A Methuselah may burn the Edge to burn his or her target counter.","","BH:C/PTo, Third:C","archbishop,cardinal,regent","","Jeff Holt","",""
"100526","Depravity","","Master","","","1","","","","Unique master.
Put this card on a ready vampire you control. This vampire has +1 strength, and he or she gets +1 stealth on diablerie actions. He or she cannot recruit allies or employ retainers.","","AH:V3, FN:PG, KMW:PAl, Third:U, HttB:PGar","","","Scott Kirschner; Gary Chatterton","",""
"100527","Derange","","Action","Malkavian/Malkavian antitribu","","","","","","This is a +1 stealth action.
(D) Put this card on a younger vampire. The vampire with this card is considered to be the same clan as the acting vampire. The vampire with this card does not unlock as normal. During his or her controller's unlock phase, he or she may burn 1 blood to unlock. The vampire with this card may move it to another vampire as a (D) action. This card cannot be placed on a Malkavian or Malkavian antitribu.","","Sabbat:R, CE:R, Third:R","","","Eric LaCombe","",""
"100528","Descent into Darkness","","Action","","Obtenebration","","1","","","+1 stealth action.
[obt] Put this vampire and any cards and counters on them out of play (breaking any temporary control effects) and put this card in play. During your influence phase, this vampire can gain 2 blood and you can choose to burn this card to return the vampire to play (in the same region as they were before), locked.
[OBT] As above, but the vampire is unlocked as they return to play.","","Gehenna:C, POD:DTC","","","David Day","",""
"100529","Desert Eagle","","Equipment","","","1","","","","Weapon, gun.
Strike: 2R damage.","Mike raised a pistol that, from Beckett's angle, appeared to be roughly the size of a howitzer.","Gehenna:C, KoT:C/PT3","","","Steve Prescott","",""
"100530","Despiral","","Action","Ishtarri","","","1","","","+1 stealth action.
Put this card on this Ishtarri and put 1 counter on this card. This Ishtarri gets +X bleed, where X is the number of counters on this card. This Ishtarri can add a counter to this card as a +1 stealth action that costs X blood.","","EK:C","","","Heather V. Kreiter","",""
"100531","Destructive Secrets","","Action","Nosferatu","","","1","","","+1 stealth action.
(D) Choose any minion; the chosen minion cannot block Nosferatu until the end of the turn.","Dull and malevolent,
And odious, they seem,
With shades of twilight blended,
Part of an evil dream...
D.H. Lawrence, ""Elysium""","DS:C2","","","Stuart Beel","",""
"100532","Detect Authority","","Reaction","","Animalism/Serpentis/Thaumaturgy","","","","","Requires an Anarch.
[ani] Only usable during an action directed at a minion or location you control. The action fails unless the acting minion burns 2 blood (allies cannot burn blood).
[ser] +1 intercept.
[tha] Reduce a bleed against you by 2.","","TR:C, POD:DTC","anarch","","Peter Bergting","",""
"100533","Detection","","Master","","","","","","","Master.
Put this card on a Lasombra. The vampire with this card does not unlock as normal. During his or her controller's unlock phase, this vampire may burn 1 blood to unlock. This vampire cannot cast votes or ballots. He or she may burn this card as a (D) action.","","Sabbat:U, SW:R/PT","","","Greg Simanson","",""
"100534","Determine","","Reaction","","Vision","","","1","","Play when a monster controlled by your predator is bleeding you, after blocks are declined. Lock this reacting imbued. The monster is now bleeding your predator's predator.
Or play when a monster controlled by your predator or prey plays an action card. Lock this reacting imbued and cancel that action card as it is played (no cost is paid, and the monster doesn't lock). That monster cannot play the same action card again this turn.","","NoR:C","","","Avery Butterworth","",""
"100535","Development","","Master","","","","","","","Master: trifle.
When drawing to replace this card, you may take your choice of one of the cards from your research area instead of drawing from your library.","","HttB:C","","","Jenny Frison","",""
"100536","Deviki Prasanta","","Ally","Assamite","","","","","","Unique ghoul with 2 life. 1 strength, 0 bleed.
If Deviki is ready during your master phase, you can lock her to search your library (shuffle afterward) and/or ash heap for a master Discipline card and put it on a ready Assamite you control.","When you are an anvil, be patient; when a hammer, strike.
Deviki Prasanta, Assamite ghoul","KMW:R, POD:DTC","","","Steve Eidson","",""
"100537","Devil-Channel: Back","","Combat","","Abombwe","","","","","[abo] [REFLEX] Cancel a frenzy card played on this vampire as it is played.
[abo] Frenzy. This vampire burns 1 blood to get an additional strike {(limited)} this round, only usable to make a hand strike.
[ABO] Frenzy. This vampire gets an additional strike {(limited)} this round, only usable to make a hand strike.","","LoB:C","","","Steve Ellis","",""
"100538","Devil-Channel: Feet","","Combat","","Abombwe","","1","","","[abo] [REFLEX] Cancel a frenzy card played on this vampire as it is played.
[abo] Frenzy (this vampire). Not usable if the opposing minion has flight [FLIGHT]. Strike: dodge with an optional press.
[ABO] As above, and this vampire locks an Aye on him or her to unlock.","","EK:C","","","Justin Norman","",""
"100539","Devil-Channel: Hands","","Combat","","Abombwe","","1","","","[abo] [REFLEX] Cancel a frenzy card played on this vampire as it is played.
[abo] Frenzy. Play before range is determined. For the remainder of the combat, this vampire's hand damage is aggravated.
[ABO] As above, with an optional press this round.","","LoB:C/PA4","","","Abrar Ajmal","",""
"100540","Devil-Channel: Throat","","Action Modifier","","Abombwe","","1","","","[abo] [REFLEX] Cancel a frenzy card played on this vampire as it is played.
[abo] Frenzy (played on this acting vampire). Only usable when a non-werewolf ally or younger vampire attempts to block. That minion's blocking attempt fails (do not lock that minion). That minion cannot attempt to block this action again.
[ABO] As above, but lock that blocking minion.","","LoB:C/PA4","","","Abrar Ajmal","",""
"100541","Día de los Muertos","","Master","","","1","","","","Only one Día de los Muertos can be played in a game.
The first referendum a Sabbat vampire you control calls on this turn passes automatically (skip the polling step).","We play very dangerous games with life and no one knows our rules.
Parke Godwin","BH:R, SP:LB1","","","Steve Ellis","",""
"100542","Diabolic Lure","","Reaction","","Daimoinon/Auspex","","","","","[aus] Reduce a bleed against you by 1.
[dai] Requires an infernal vampire. Only usable when this vampire successfully blocks. Put 4 pact counters on the acting minion. If the number of pact counters equals or exceeds his or her capacity or cost, burn them to make him or her infernal.
[DAI] As [dai] above, and the acting minion's controller burns 1 pool.","","HttB:C","","","Matt Smith","",""
"100543","Diamond Thunderbolt, The","","Master","","","","","","","Master: out-of-turn.
Only usable when control of a vampire you control is about to change or when a vampire you control is about to enter combat. Control of that vampire does not change, and that vampire gains 1 blood.","","Gehenna:C","","","Leif Jones","",""
"100544","Din of the Damned","","Action Modifier","Harbinger of Skulls","","","","","","Only usable on an undirected action as the action is announced.
Equipment and conviction [1 CONVICTION] cards cannot grant intercept this action (any intercept they grant is lost). Reaction cards (and powers) that grant intercept for this action cost an additional blood or life.","","HttB:C","","","Avery Butterworth","",""
"100545","Direct Intervention","","Master","","","1","","","","Master: out-of-turn.
Cancel a minion card as it is played. No cost is paid. (If it was an action card, the acting minion doesn't lock. If it was a strike card, the minion chooses another strike.)","","Sabbat:U, SW:PB, Third:U","","","Harold Arthur McNeill","",""
"100546","Dirty Contract","","Master","Samedi","","","","","Y","Contract.
Choose any Samedi and put this card on any minion. The chosen Samedi can enter combat with this minion as a +1 stealth (D) action. This card cannot be put on a Nosferatu or a Giovanni.","When it comes time for business, however, Samedi are more than happy to get their hands dirty.","BL:C1, LoB:C, POD:DTC","","","Brian LeBlanc","",""
"100547","Dirty Little Secrets","","Action Modifier","Nosferatu antitribu","","","","","","Only usable on a successful bleed.
For each pool this Nosferatu antitribu bleeds from the target Methuselah, burn one card from the top of that Methuselah's library.","There's something addictive about a secret.
J. Edgar Hoover","Sabbat:U, Tenth:B","","","Ron Spencer","",""
"100548","Dis Pater","","Master","Giovanni","","","","","","Unique.
Put this card in play. Once each action, if a Giovanni you control is about to successfully bleed your prey, you can remove seven cards in your ash heap from the game to give that action +1 bleed.","","KMW:R, POD:DTC","","","Ken Meyer, Jr.","",""
"100549","Disarm","","Combat","","Potence","","","","","[pot] Only usable at close range at the end of a round of combat in which this vampire successfully inflicted more damage than the opposing vampire. Not usable by a vampire being burned or going into torpor. Put this card on the opposing vampire and send that vampire into torpor. The vampire with this card has -1 strength. He or she may burn this card by burning 3 blood. A vampire can have only one Disarm.
[POT] As above, but the vampire with this card has -2 strength.","","Sabbat:R, SW:R, CE:PB, BH:PN, KMW:PAl, Third:R","","","L. A. Williams","",""
"100550","Disarming Presence","","Action Modifier","","Presence","","","","","Only usable during a referendum before any votes or ballots are cast.
[pre] When a vampire votes in this referendum, lock him or her.
[PRE] As above, but do not lock your vampires when they cast their votes.","Nothing makes a prince so much esteemed as great enterprises and setting a fine example.
Niccolò Machiavelli, ""The Prince""","Jyhad:U, VTES:U, CE:PTo","","","Brian LeBlanc; Mike Raabe","",""
"100551","Discern","","Power","","Judgment","","","","","[REACTION]+1 intercept. Only usable when a monster is acting.","The monsters have been dragged into the light and they have to play by the same rules as the rest of us. This isn't just our reckoning. It's theirs.
Steve ""Soldier91"" Williams, Avenger","NoR:C","","","Thomas Manning","",""
"100552","Disciple of Lazarus","","Action","Harbinger of Skulls","","","","","","+1 stealth action.
Add 2 blood to a younger Harbinger of Skulls in your uncontrolled region, or search your crypt for {a} Harbinger of Skulls, reveal them, and move them to your uncontrolled region (shuffle afterward).","","LK:4","","","Carmen Cornet","",""
"100553","Disease","","Combat","","Quietus","","1","","","Only usable before range is determined.
[qui] The opposing minion gets -1 strength this combat.
[QUI] The opposing minion gets -2 strength this combat.","Life itself becomes punishment for those who are not free from pains and diseases.
Pliny the Elder, ""Natural History"", book XXVIII","AH:C2, FN:PA2, POD:DTC","","","Pat Morrissey","",""
